"","year","value","variable"
"1",1981,0.088530195146011,"Expected Capital Inflation"
"2",1982,0.0871014152791727,"Expected Capital Inflation"
"3",1983,0.0655213836420764,"Expected Capital Inflation"
"4",1984,0.036592438041375,"Expected Capital Inflation"
"5",1985,0.0183346441943435,"Expected Capital Inflation"
"6",1986,0.0129372843105821,"Expected Capital Inflation"
"7",1987,0.014724609652461,"Expected Capital Inflation"
"8",1988,0.0165779419778094,"Expected Capital Inflation"
"9",1989,0.02567427271029,"Expected Capital Inflation"
"10",1990,0.0314263658638679,"Expected Capital Inflation"
"11",1991,0.031608807750365,"Expected Capital Inflation"
"12",1992,0.0195507065879174,"Expected Capital Inflation"
"13",1993,0.0148991034111818,"Expected Capital Inflation"
"14",1994,0.0132041221393448,"Expected Capital Inflation"
"15",1995,0.0209424782409849,"Expected Capital Inflation"
"16",1996,0.0239126515075148,"Expected Capital Inflation"
"17",1997,0.0215611313809544,"Expected Capital Inflation"
"18",1998,0.0175648792334469,"Expected Capital Inflation"
"19",1999,0.012790247593996,"Expected Capital Inflation"
"20",2000,0.0133169001966593,"Expected Capital Inflation"
"21",2001,0.0159138609393042,"Expected Capital Inflation"
"22",2002,0.0170412142687066,"Expected Capital Inflation"
"23",2003,0.017310545698845,"Expected Capital Inflation"
"24",2004,0.0148471066048505,"Expected Capital Inflation"
"25",2005,0.030843762838623,"Expected Capital Inflation"
"26",2006,0.04611483296472,"Expected Capital Inflation"
"27",2007,0.0568181102088191,"Expected Capital Inflation"
"28",2008,0.0463599972477353,"Expected Capital Inflation"
"29",2009,0.0360067817562179,"Expected Capital Inflation"
"30",2010,0.0112589335792265,"Expected Capital Inflation"
"31",2011,0.00909136597337686,"Expected Capital Inflation"
"32",2012,0.00909699192523167,"Expected Capital Inflation"
"33",2013,0.0227768757339044,"Expected Capital Inflation"
"34",2014,0.0211594454683639,"Expected Capital Inflation"
"35",2015,0.016979137890068,"Expected Capital Inflation"
"36",1981,0.095,"Expected Consumption Inflation"
"37",1981.08333333333,0.086,"Expected Consumption Inflation"
"38",1981.16666666667,0.072,"Expected Consumption Inflation"
"39",1981.25,0.08,"Expected Consumption Inflation"
"40",1981.33333333333,0.073,"Expected Consumption Inflation"
"41",1981.41666666667,0.071,"Expected Consumption Inflation"
"42",1981.5,0.068,"Expected Consumption Inflation"
"43",1981.58333333333,0.058,"Expected Consumption Inflation"
"44",1981.66666666667,0.069,"Expected Consumption Inflation"
"45",1981.75,0.067,"Expected Consumption Inflation"
"46",1981.83333333333,0.073,"Expected Consumption Inflation"
"47",1981.91666666667,0.053,"Expected Consumption Inflation"
"48",1982,0.051,"Expected Consumption Inflation"
"49",1982.08333333333,0.052,"Expected Consumption Inflation"
"50",1982.16666666667,0.042,"Expected Consumption Inflation"
"51",1982.25,0.047,"Expected Consumption Inflation"
"52",1982.33333333333,0.035,"Expected Consumption Inflation"
"53",1982.41666666667,0.046,"Expected Consumption Inflation"
"54",1982.5,0.05,"Expected Consumption Inflation"
"55",1982.58333333333,0.048,"Expected Consumption Inflation"
"56",1982.66666666667,0.045,"Expected Consumption Inflation"
"57",1982.75,0.047,"Expected Consumption Inflation"
"58",1982.83333333333,0.045,"Expected Consumption Inflation"
"59",1982.91666666667,0.037,"Expected Consumption Inflation"
"60",1983,0.028,"Expected Consumption Inflation"
"61",1983.08333333333,0.03,"Expected Consumption Inflation"
"62",1983.16666666667,0.018,"Expected Consumption Inflation"
"63",1983.25,0.034,"Expected Consumption Inflation"
"64",1983.33333333333,0.032,"Expected Consumption Inflation"
"65",1983.41666666667,0.032,"Expected Consumption Inflation"
"66",1983.5,0.032,"Expected Consumption Inflation"
"67",1983.58333333333,0.033,"Expected Consumption Inflation"
"68",1983.66666666667,0.033,"Expected Consumption Inflation"
"69",1983.75,0.037,"Expected Consumption Inflation"
"70",1983.83333333333,0.035,"Expected Consumption Inflation"
"71",1983.91666666667,0.035,"Expected Consumption Inflation"
"72",1984,0.032,"Expected Consumption Inflation"
"73",1984.08333333333,0.033,"Expected Consumption Inflation"
"74",1984.16666666667,0.034,"Expected Consumption Inflation"
"75",1984.25,0.039,"Expected Consumption Inflation"
"76",1984.33333333333,0.042,"Expected Consumption Inflation"
"77",1984.41666666667,0.042,"Expected Consumption Inflation"
"78",1984.5,0.034,"Expected Consumption Inflation"
"79",1984.58333333333,0.03,"Expected Consumption Inflation"
"80",1984.66666666667,0.03,"Expected Consumption Inflation"
"81",1984.75,0.035,"Expected Consumption Inflation"
"82",1984.83333333333,0.034,"Expected Consumption Inflation"
"83",1984.91666666667,0.033,"Expected Consumption Inflation"
"84",1985,0.029,"Expected Consumption Inflation"
"85",1985.08333333333,0.031,"Expected Consumption Inflation"
"86",1985.16666666667,0.03,"Expected Consumption Inflation"
"87",1985.25,0.033,"Expected Consumption Inflation"
"88",1985.33333333333,0.032,"Expected Consumption Inflation"
"89",1985.41666666667,0.034,"Expected Consumption Inflation"
"90",1985.5,0.028,"Expected Consumption Inflation"
"91",1985.58333333333,0.028,"Expected Consumption Inflation"
"92",1985.66666666667,0.029,"Expected Consumption Inflation"
"93",1985.75,0.033,"Expected Consumption Inflation"
"94",1985.83333333333,0.031,"Expected Consumption Inflation"
"95",1985.91666666667,0.035,"Expected Consumption Inflation"
"96",1986,0.029,"Expected Consumption Inflation"
"97",1986.08333333333,0.028,"Expected Consumption Inflation"
"98",1986.16666666667,0.023,"Expected Consumption Inflation"
"99",1986.25,0.024,"Expected Consumption Inflation"
"100",1986.33333333333,0.027,"Expected Consumption Inflation"
"101",1986.41666666667,0.029,"Expected Consumption Inflation"
"102",1986.5,0.028,"Expected Consumption Inflation"
"103",1986.58333333333,0.03,"Expected Consumption Inflation"
"104",1986.66666666667,0.029,"Expected Consumption Inflation"
"105",1986.75,0.032,"Expected Consumption Inflation"
"106",1986.83333333333,0.028,"Expected Consumption Inflation"
"107",1986.91666666667,0.03,"Expected Consumption Inflation"
"108",1987,0.029,"Expected Consumption Inflation"
"109",1987.08333333333,0.031,"Expected Consumption Inflation"
"110",1987.16666666667,0.03,"Expected Consumption Inflation"
"111",1987.25,0.03,"Expected Consumption Inflation"
"112",1987.33333333333,0.034,"Expected Consumption Inflation"
"113",1987.41666666667,0.033,"Expected Consumption Inflation"
"114",1987.5,0.031,"Expected Consumption Inflation"
"115",1987.58333333333,0.032,"Expected Consumption Inflation"
"116",1987.66666666667,0.03,"Expected Consumption Inflation"
"117",1987.75,0.033,"Expected Consumption Inflation"
